fecha,ufv
01-01-21,2.35844
02-01-21,2.35837
03-01-21,2.35830
04-01-21,2.35823
05-01-21,2.35816
06-01-21,2.35809
07-01-21,2.35802
08-01-21,2.35795
09-01-21,2.35788
10-01-21,2.35781
11-01-21,2.35785
12-01-21,2.35789
13-01-21,2.35793
14-01-21,2.35797
15-01-21,2.35801
16-01-21,2.35805
17-01-21,2.35809
18-01-21,2.35813
19-01-21,2.35817
20-01-21,2.35821
21-01-21,2.35825
22-01-21,2.35829
23-01-21,2.35833
24-01-21,2.35837
25-01-21,2.35841
26-01-21,2.35845
27-01-21,2.35849
28-01-21,2.35853
29-01-21,2.35857
30-01-21,2.35861
31-01-21,2.35865
01-02-21,2.35870
02-02-21,2.35875
03-02-21,2.35880
04-02-21,2.35885
05-02-21,2.35890
06-02-21,2.35895
07-02-21,2.35900
08-02-21,2.35905
09-02-21,2.35910
10-02-21,2.35915
11-02-21,2.35923
12-02-21,2.35931
13-02-21,2.35939
14-02-21,2.35947
15-02-21,2.35955
16-02-21,2.35963
17-02-21,2.35971
18-02-21,2.35979
19-02-21,2.35987
20-02-21,2.35995
21-02-21,2.36003
22-02-21,2.36011
23-02-21,2.36019
24-02-21,2.36027
25-02-21,2.36035
26-02-21,2.36043
27-02-21,2.36051
28-02-21,2.36059
01-03-21,2.36066
02-03-21,2.36073
03-03-21,2.36080
04-03-21,2.36087
05-03-21,2.36094
06-03-21,2.36101
07-03-21,2.36108
08-03-21,2.36115
09-03-21,2.36122
10-03-21,2.36129
11-03-21,2.36138
12-03-21,2.36147
13-03-21,2.36156
14-03-21,2.36165
15-03-21,2.36174
16-03-21,2.36183
17-03-21,2.36192
18-03-21,2.36201
19-03-21,2.36210
20-03-21,2.36219
21-03-21,2.36228
22-03-21,2.36237
23-03-21,2.36246
24-03-21,2.36255
25-03-21,2.36264
26-03-21,2.36273
27-03-21,2.36282
28-03-21,2.36291
29-03-21,2.36300
30-03-21,2.36309
31-03-21,2.36318
01-04-21,2.36327
02-04-21,2.36336
03-04-21,2.36345
04-04-21,2.36354
05-04-21,2.36363
06-04-21,2.36372
07-04-21,2.36381
08-04-21,2.36390
09-04-21,2.36399
10-04-21,2.36408
11-04-21,2.36416
12-04-21,2.36424
13-04-21,2.36432
14-04-21,2.36440
15-04-21,2.36448
16-04-21,2.36456
17-04-21,2.36464
18-04-21,2.36472
19-04-21,2.36480
20-04-21,2.36488
21-04-21,2.36496
22-04-21,2.36504
23-04-21,2.36512
24-04-21,2.36520
25-04-21,2.36528
26-04-21,2.36536
27-04-21,2.36544
28-04-21,2.36552
29-04-21,2.36560
30-04-21,2.36568
01-05-21,2.36575
02-05-21,2.36582
03-05-21,2.36589
04-05-21,2.36596
